                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 2.4251,                 2.7362,                 1.9835,                0.64561,                0.04445,                0.01838,                0.00624,                 2.7948,                 2.9198,                 2.1989,             0.00035028,             0.00035028,             0.00035028
                     57,                 2.4221,                 2.7168,                 1.9693,                0.55721,                0.04399,                0.02001,                0.00652,                 2.7572,                 2.8678,                 2.2005,             0.00034267,             0.00034267,             0.00034267
                     58,                 2.4451,                 2.7209,                 1.9756,                 0.5648,                0.04588,                0.01962,                0.00644,                  2.738,                 2.8829,                 2.2073,             0.00033505,             0.00033505,             0.00033505
                     59,                 2.4329,                 2.7084,                 1.9706,                 0.6954,                0.04291,                0.02021,                0.00688,                 2.7488,                 2.8662,                 2.2089,             0.00032744,             0.00032744,             0.00032744
                     60,                 2.4134,                 2.7043,                  1.962,                0.57261,                0.04431,                0.01992,                0.00677,                  2.759,                 2.9038,                 2.1928,             0.00031983,             0.00031983,             0.00031983
                     61,                 2.4295,                 2.7063,                 1.9646,                0.73752,                0.04704,                0.02006,                0.00698,                 2.7311,                  2.861,                 2.1966,             0.00031221,             0.00031221,             0.00031221
                     62,                 2.4097,                  2.692,                  1.958,                0.55069,                0.04603,                0.01981,                0.00692,                 2.7525,                 2.8768,                  2.179,              0.0003046,              0.0003046,              0.0003046
                     63,                 2.4148,                 2.7056,                 1.9638,                0.54794,                0.04741,                0.03515,                0.00868,                 2.7227,                 2.8697,                 2.1804,             0.00029699,             0.00029699,             0.00029699
                     64,                 2.4152,                 2.6885,                 1.9591,                0.56039,                0.04802,                0.02173,                0.00753,                 2.7301,                 2.8576,                  2.177,             0.00028937,             0.00028937,             0.00028937
                     65,                   2.41,                 2.6681,                 1.9507,                0.52651,                0.04417,                0.02173,                0.00748,                 2.7399,                  2.862,                  2.189,             0.00028176,             0.00028176,             0.00028176
                     66,                 2.4062,                 2.6897,                 1.9523,                0.44759,                0.04816,                0.02326,                0.00706,                 2.7473,                 2.8584,                 2.1995,             0.00027415,             0.00027415,             0.00027415
                     67,                 2.4079,                 2.6687,                 1.9442,                 0.5516,                 0.0579,                 0.0272,                 0.0082,                 2.7496,                 2.8449,                 2.2034,             0.00026654,             0.00026654,             0.00026654
                     68,                 2.4009,                 2.6664,                 1.9438,                 0.2906,                 0.0582,                0.03523,                0.00873,                 2.7393,                 2.8572,                  2.184,             0.00025892,             0.00025892,             0.00025892
                     69,                 2.4128,                 2.6755,                  1.953,                0.56529,                0.05333,                0.03062,                0.00821,                 2.7498,                  2.854,                 2.1962,             0.00025131,             0.00025131,             0.00025131
                     70,                  2.393,                 2.6542,                   1.94,                0.55999,                 0.0548,                0.02718,                0.00849,                 2.7446,                 2.8578,                 2.1973,              0.0002437,              0.0002437,              0.0002437
                     71,                 2.3976,                 2.6549,                 1.9403,                0.42789,                0.05211,                0.02352,                0.00787,                 2.7343,                 2.8539,                 2.2018,             0.00023608,             0.00023608,             0.00023608
                     72,                  2.412,                 2.6655,                 1.9525,                0.55205,                0.04871,                0.02364,                0.00804,                 2.7408,                  2.851,                  2.203,             0.00022847,             0.00022847,             0.00022847
                     73,                 2.3797,                  2.651,                 1.9347,                0.41661,                0.05716,                0.03095,                0.00947,                 2.7322,                 2.8465,                 2.1858,             0.00022086,             0.00022086,             0.00022086
                     74,                 2.3874,                  2.658,                 1.9378,                0.42241,                 0.0474,                 0.0238,                0.00797,                 2.7546,                 2.8389,                 2.1948,             0.00021324,             0.00021324,             0.00021324
                     75,                 2.3886,                 2.6338,                 1.9304,                0.42609,                0.05214,                0.03094,                0.01005,                 2.7545,                 2.8552,                 2.2018,             0.00020563,             0.00020563,             0.00020563
                     76,                 2.3816,                 2.6268,                 1.9202,                0.42304,                0.04769,                0.02347,                 0.0079,                 2.7385,                  2.853,                 2.2045,             0.00019802,             0.00019802,             0.00019802
                     77,                 2.3796,                 2.6473,                 1.9311,                0.41176,                0.06286,                0.03189,                0.00867,                 2.7464,                 2.8476,                 2.2066,              0.0001904,              0.0001904,              0.0001904
                     78,                 2.3792,                 2.6352,                  1.924,                0.42754,                0.05094,                0.03241,                0.01012,                 2.7367,                 2.8352,                 2.1946,             0.00018279,             0.00018279,             0.00018279
                     79,                 2.3719,                 2.6388,                  1.925,                0.31529,                0.04933,                0.02727,                0.00911,                 2.7322,                 2.8485,                 2.1995,             0.00017518,             0.00017518,             0.00017518
                     80,                 2.3683,                 2.6352,                 1.9196,                0.43032,                0.04608,                0.02441,                 0.0085,                 2.7369,                 2.8508,                 2.1871,             0.00016757,             0.00016757,             0.00016757
                     81,                 2.3782,                 2.6223,                  1.921,                0.42659,                0.04822,                0.02533,                 0.0085,                 2.7367,                 2.8413,                 2.1953,             0.00015995,             0.00015995,             0.00015995
                     82,                 2.3664,                 2.6363,                 1.9239,                0.43834,                0.04937,                0.02446,                0.00851,                 2.7357,                 2.8451,                 2.1979,             0.00015234,             0.00015234,             0.00015234
                     83,                  2.359,                 2.6076,                 1.9093,                0.42246,                0.05417,                0.02464,                 0.0084,                 2.7251,                 2.8476,                 2.1999,             0.00014473,             0.00014473,             0.00014473
                     84,                 2.3475,                 2.5982,                 1.9045,                0.42289,                0.05212,                0.02432,                0.00843,                 2.7321,                 2.8363,                 2.1985,             0.00013711,             0.00013711,             0.00013711
